movie_title,language,genres,num_user_for_reviews,num_critic_for_reviews,cast_total_facebook_likes,color,country,facenumber_in_poster,content_rating,budget,title_year,duration,num_voted_users,imdb_score,aspect_ratio,actor_2_facebook_likes,movie_facebook_likes,actor_3_facebook_likes,director_facebook_likes,actor_1_facebook_likes
The Dark Knight Rises,English,Action|Thriller,2734,816,128886,Color,UK,0,PG-13,250000000,2012,164,1223907,8.5,2.35,23000,163000,23000,22000,27000
Pirates of the Caribbean: At World's End,English,Action|Adventure|Fantasy,1249,307,73135,Color,USA,1,PG-13,300000000,2007,169,500631,7.1,2.35,7700,5300,5000,575,40000
Avatar,English,Action|Adventure|Fantasy|Sci-Fi,3087,722,36289,Color,UK,1,PG-13,237000000,2009,162,936212,7.8,1.78,8200,34000,5300,7000,8500
The Lone Ranger,English,Action|Adventure|Western,723,460,67106,Color,USA,2,PG-13,215000000,2013,150,191086,6.5,2.35,7700,48000,6000,575,40000
Spectre,English,Action|Adventure|Thriller,1033,633,45755,Color,UK,1,PG-13,245000000,2015,148,309354,6.8,2.35,8700,88000,8500,2200,11000
John Carter,English,Action|Adventure|Sci-Fi,757,466,29724,Color,USA,0,PG-13,250000000,2012,132,220816,6.6,2.35,5600,24000,3900,477,7100
Tangled,English,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,399,328,20451,Color,USA,1,PG,260000000,2010,100,316834,7.8,1.85,3600,29000,3500,17,5800
Spider-Man 3,English,Action|Adventure,1909,393,64014,Color,USA,0,PG-13,258000000,2007,139,406641,6.2,2.35,11000,3800,6100,1300,24000
Avengers: Age of Ultron,English,Action|Adventure|Sci-Fi,1130,656,132800,Color,USA,4,PG-13,250000000,2015,141,517827,7.4,2.35,21000,119000,19000,5300,26000
Captain America: Civil War,English,Action|Adventure|Sci-Fi,1182,586,92822,Color,USA,0,PG-13,250000000,2016,147,413210,7.9,2.35,19000,81000,11000,98,21000
Batman v Superman: Dawn of Justice,English,Action|Adventure|Sci-Fi,3274,734,63711,Color,USA,0,PG-13,250000000,2016,151,473214,6.7,2.35,9800,204000,7900,2200,15000
The Hobbit: An Unexpected Journey,English,Adventure|Fantasy,1382,644,30024,Color,USA,1,PG-13,180000000,2012,169,669230,7.9,2.35,6300,167000,5900,7900,8500
Harry Potter and the Half-Blood Prince,English,Adventure|Family|Fantasy|Mystery,983,382,72001,Color,UK,3,PG,250000000,2009,153,351499,7.5,2.35,11000,10000,10000,316,25000
The Hobbit: The Desolation of Smaug,English,Adventure|Fantasy,962,512,30024,Color,USA,6,PG-13,225000000,2013,161,514285,7.9,2.35,6300,83000,5900,7900,8500
The Hobbit: The Battle of the Five Armies,English,Adventure|Fantasy,817,426,30024,Color,New Zealand,0,PG-13,250000000,2014,144,386153,7.4,2.35,6300,65000,5900,7900,8500
