DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta,matchDuration,numGroups,maxPlace,winPlacePerc
0,0,0,422.635,alive,0,0,1,0,0,1,1,0,0,12.0088778,0,0,0,0,0,0,0,581.392,0,0,7,1,0,0,581,2,2,0.5
0,0,3,0,byplayer,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.375,0,0,5,2,0,0,581,2,2,0
1,0,9,89.1068,byplayer,0,7,53,0,0,0,0,0,0,0,0,0,0,5451.888,0,0,0,1246.492,1,642.0093,7,8,0,0,1590,16,16,0.5
0,0,3,0,byplayer,0,0,56,0,0,0,0,0,0,0,0,0,0,3088.211,0,0,0,595.296,0,684.7871,3,8,0,0,1590,16,16,0.5
0,1,5,101.733032,byplayer,0,3,54,0,0,0,0,0,0,0,0,0,1,3243.89136,0,0,0,1232.848,0,1116.65833,4,8,0,0,1590,16,16,0.5
0,0,0,0,byplayer,0,0,55,0,0,0,0,0,0,0,0,0,0,3504.165,0,0,0,611.67,0,857.071167,5,8,0,0,1590,16,16,0.5
0,0,6,154.174,byplayer,0,1,64,0,0,0,0,0,0,0,0,0,0,988.887756,0,0,0,1134.079,0,2318.98682,4,13,0,0,1590,16,16,0.1875
2,1,4,585.2755,byplayer,0,9,63,0,0,0,0,0,0,0,0,0,0,1035.2782,0,0,0,1134.083,0,2215.639,4,13,0,0,1590,16,16,0.1875
0,0,2,0,byplayer,0,0,65,0,0,0,0,0,0,0,0,0,0,662.971558,0,0,0,702.812,0,1496.60754,4,13,0,0,1590,16,16,0.1875
0,0,1,0,byplayer,0,0,66,0,0,0,0,0,0,0,0,0,0,1480.729,0,0,0,441.571,0,444.745117,3,13,0,0,1590,16,16,0.1875
1,0,0,17.4400043,byplayer,0,0,30,0,0,1,1,0,0,10.5712852,0,0,1,1999.80688,0,0,0,580.367,0,587.4657,7,15,0,0,1590,16,16,0.0625
0,1,0,82.56,byplayer,0,0,73,0,0,0,0,0,0,0,0,0,0,2697.75244,0,0,0,573.825,0,519.9905,4,15,0,0,1590,16,16,0.0625
0,0,1,64.0337143,byplayer,0,1,71,0,0,0,0,0,0,0,0,0,0,2952.29126,0,0,0,794.571,0,632.707458,3,15,0,0,1590,16,16,0.0625
0,0,0,0,byplayer,0,0,72,0,0,0,0,0,0,0,0,0,0,2554.245,0,0,0,576.141,0,410.672882,7,15,0,0,1590,16,16,0.0625
2,0,4,568.615967,byplayer,1,0,4,0,0,2,3,0,0,45.2309227,0,0,0,2200.59082,0,0,0,1590.515,0,2041.89392,7,2,0,0,1590,16,16,0.875
3,1,3,493.6788,byplayer,0,5,6,0,0,1,3,0,0,271.034637,0,0,0,1515.121,0,0,0,1420.14,0,2332.57764,5,2,0,0,1590,16,16,0.875
2,1,3,331.2283,byplayer,0,0,5,0,0,1,3,0,0,302.967957,0,0,0,708.990051,0,0,0,1443.954,0,1442.21863,5,2,0,0,1590,16,16,0.875
3,3,2,404.3824,byplayer,0,2,44,0,0,0,0,0,0,0,0,0,0,1721.84717,0,0,0,1536.574,0,2253.15967,5,2,0,0,1590,16,16,0.875
